TargetName,JJ93.|.001.|.tumor,JJ93.|.001.|.CD45,JJ93.|.002.|.Ki67+.tumor,JJ93.|.002.|.tumor,JJ93.|.002.|.CD45,JJ93.|.003.|.Ki67+.tumor,JJ93.|.003.|.tumor,JJ93.|.003.|.CD45,JJ93.|.004.|.tumor,JJ93.|.004.|.CD45,JJ93.|.005.|.tumor,JJ93.|.005.|.CD45,JJ98.|.001.|.Ki67+.tumor,JJ98.|.001.|.tumor,JJ98.|.001.|.CD45,JJ98.|.002.|.Ki67+.tumor,JJ98.|.002.|.tumor,JJ98.|.002.|.CD45,JJ98.|.003.|.Ki67+.tumor,JJ98.|.003.|.tumor,JJ98.|.003.|.CD45,JJ98.|.004.|.tumor,JJ98.|.005.|.tumor,JJ98.|.006.|.tumor
A1BG,43,5,2,20,2,2,7,4,11,3,8,2,14,15,28,8,27,5,8,20,33,19,17,2
A1CF,24,6,3,10,2,2,7,2,14,5,11,2,2,8,7,1,14,6,5,12,24,5,3,4
A2M,72,27,7,20,28,2,22,27,46,42,22,6,51,112,287,11,62,42,13,121,278,11,8,1
A2ML1,25,4,5,11,5,5,10,2,5,4,14,1,8,8,11,2,16,1,1,15,23,11,5,2
A3GALT2,13,6,1,7,1,1,7,1,8,4,7,1,5,5,13,2,11,3,1,9,21,10,8,1
A4GALT,19,6,1,10,4,1,4,1,7,5,8,2,8,10,6,1,13,4,2,7,18,11,11,1
A4GNT,12,7,3,6,1,4,4,4,9,3,9,1,4,10,8,1,14,3,4,10,16,6,7,1
AAAS,58,8,9,35,6,6,26,1,27,4,30,2,19,25,19,10,50,4,9,39,52,17,22,3
AACS,18,3,2,16,1,4,12,1,19,1,12,2,11,10,13,1,14,4,4,10,26,10,11,4
AADAC,15,2,2,8,5,3,5,2,9,3,15,1,8,6,16,2,14,4,1,8,22,3,8,2
AADACL2,14,4,1,2,6,2,2,2,5,3,7,1,6,9,12,3,9,5,1,6,17,6,3,1
AADACL3,32,12,10,14,4,5,11,4,14,8,16,2,11,16,23,4,23,7,4,13,22,5,5,1
AADACL4,23,1,3,7,1,2,5,3,6,2,13,1,6,13,12,1,10,10,2,12,19,12,7,2
AADAT,33,3,8,16,4,6,12,1,14,5,16,1,14,16,12,1,21,4,1,18,30,13,2,1
AAGAB,21,5,8,15,1,9,9,1,26,5,11,1,6,13,18,3,24,7,4,23,38,5,3,1
AAK1,26,5,4,26,3,1,8,3,15,3,27,3,14,20,31,2,37,6,4,23,45,1,5,5
AAMDC,37,3,6,32,7,6,15,3,25,4,21,1,10,13,18,7,44,13,6,20,45,11,4,2
AAMP,143,14,15,65,9,17,54,9,73,19,72,6,31,48,44,15,99,16,17,69,72,14,10,3
AANAT,29,4,2,18,3,3,6,3,15,2,11,1,12,10,13,1,19,5,1,16,29,20,17,1
AAR2,33,4,7,10,4,6,11,2,16,6,14,4,10,12,23,4,18,4,5,26,36,13,10,3
AARD,19,11,3,9,2,1,5,2,8,7,7,4,5,6,11,1,15,3,3,7,19,4,2,3
AARS1,97,8,10,44,9,9,37,5,48,19,55,3,26,37,61,7,64,20,8,34,68,13,12,1
AARS2,31,7,3,12,3,6,12,2,20,3,13,1,10,9,12,2,27,7,1,20,25,8,5,1
AARSD1,51,5,6,45,5,3,20,4,37,8,26,9,12,15,19,6,38,8,2,29,27,11,6,3
AASDH,34,8,7,19,2,1,5,5,15,7,11,2,11,10,12,4,24,3,4,15,25,3,3,2
AASDHPPT,59,9,6,29,2,1,14,5,33,7,32,2,11,16,26,3,34,9,7,16,47,4,7,1
AASS,64,4,9,26,5,11,10,7,37,7,27,3,25,42,15,7,68,5,12,58,29,14,2,1
AATF,61,3,6,26,4,6,19,2,23,6,25,1,34,32,36,7,50,9,8,30,61,10,11,3
AATK,57,7,7,38,7,6,17,2,76,5,20,1,20,48,27,5,53,10,8,36,25,5,4,1
ABAT,138,14,13,66,4,18,50,5,59,13,73,11,39,37,61,6,75,11,13,62,98,7,8,2
ABCA1,52,2,7,30,12,4,14,7,30,15,26,3,14,31,58,4,117,28,9,71,97,4,6,1
ABCA10,18,6,3,11,1,1,9,1,2,4,11,1,6,3,8,3,7,5,3,15,17,2,4,1
ABCA12,16,3,1,11,3,2,5,1,8,1,11,1,6,8,10,3,10,4,1,15,22,4,2,4
ABCA13,17,3,6,14,1,3,5,1,13,8,8,2,8,3,12,3,22,8,4,25,19,3,4,1
ABCA2,58,6,7,34,6,7,18,1,78,15,27,3,27,48,37,5,107,12,9,63,42,7,10,3
ABCA3,81,7,1,49,7,6,19,5,38,5,38,3,29,19,20,9,66,8,6,41,35,7,4,3
ABCA4,26,8,2,18,7,4,6,4,9,4,13,2,10,12,18,3,29,7,4,15,34,12,11,3
ABCA5,20,4,6,13,4,2,5,2,11,5,8,1,12,15,17,3,21,5,1,19,20,1,5,2
ABCA6,18,4,1,7,3,1,7,1,6,1,2,1,7,5,7,1,7,3,1,8,9,8,5,2
ABCA7,16,4,3,14,2,4,8,3,5,6,12,1,3,6,20,1,11,5,1,20,19,4,7,2
ABCA8,24,1,3,15,2,2,5,1,20,5,17,1,10,13,25,3,40,9,4,26,33,2,8,3
ABCA9,25,4,2,9,2,6,11,2,18,2,15,2,9,15,16,1,34,3,1,14,38,8,5,5
ABCB1,35,7,2,12,4,4,7,3,18,2,10,1,4,5,22,3,16,4,2,14,30,6,1,3
ABCB10,52,7,5,28,4,3,26,6,27,6,24,1,17,26,32,4,33,8,1,31,27,4,4,3
ABCB11,15,9,2,12,5,1,9,2,13,1,11,1,4,7,15,2,17,6,3,7,31,6,3,1
ABCB4,10,7,3,13,1,1,5,1,10,4,4,2,5,9,6,3,16,10,1,9,23,4,5,2
ABCB5,17,4,1,11,2,2,6,1,7,5,5,1,3,7,11,2,9,5,2,10,20,5,7,1
ABCB6,59,5,10,52,4,4,16,3,35,4,23,4,25,25,19,4,49,6,4,25,32,13,7,2
ABCB7,40,6,3,25,6,4,14,1,18,4,12,1,10,15,20,5,30,7,8,18,37,6,8,1
ABCB8,63,6,5,37,7,8,22,2,43,6,27,1,15,35,23,8,91,14,13,77,50,15,12,2
ABCB9,45,9,7,36,3,5,12,1,17,7,19,1,14,17,32,3,48,12,8,30,70,23,18,1
ABCC1,28,5,9,26,8,3,7,4,32,4,24,1,10,8,28,6,51,4,5,20,34,5,8,2
ABCC10,39,6,7,20,3,3,13,6,19,3,10,1,19,18,13,3,38,8,4,24,34,7,9,1
ABCC11,31,4,2,17,2,4,9,3,12,3,6,1,7,7,15,1,10,9,5,6,17,6,2,2
ABCC12,16,5,1,12,2,1,7,1,9,1,1,1,10,5,6,2,10,3,1,4,16,9,7,2
ABCC2,16,5,1,4,1,5,6,1,6,2,9,1,8,8,11,1,8,3,1,9,19,7,4,1
ABCC3,21,3,2,7,4,2,9,1,8,2,6,2,11,39,41,7,102,20,5,61,42,13,14,1
ABCC4,22,7,4,17,10,5,10,3,20,7,11,3,9,16,21,1,25,4,1,14,47,11,4,1
ABCC5,67,5,11,60,8,7,31,8,45,6,29,2,17,23,22,4,46,15,9,32,39,7,7,2
ABCC6,27,8,1,11,3,4,9,3,17,2,14,3,4,10,13,1,25,4,1,19,21,12,8,1
ABCC8,51,10,4,24,7,7,11,2,25,8,36,6,9,9,22,3,16,8,3,15,23,9,15,4
ABCC9,13,7,1,12,4,1,7,4,14,4,13,1,2,5,16,1,19,7,2,16,26,8,2,1
ABCD1,18,5,1,6,2,1,7,3,9,4,9,1,9,6,20,1,20,8,4,18,29,4,3,1
ABCD2,17,4,5,20,3,4,8,3,11,2,10,1,6,12,14,2,23,6,3,16,28,3,6,1
ABCD3,17,6,4,3,1,1,8,3,5,8,26,1,21,19,17,4,46,11,5,26,36,9,4,1
ABCD4,42,3,3,20,4,1,7,6,17,5,26,1,25,38,28,15,61,15,8,35,49,9,9,1
ABCE1,39,10,5,22,1,5,9,1,15,4,13,1,12,13,31,8,36,12,7,14,40,6,3,4
ABCF1,34,3,5,17,5,2,20,1,21,11,21,2,15,10,29,3,28,8,6,29,38,8,8,1
ABCF2,57,8,6,26,5,6,12,5,31,7,26,1,30,25,36,2,49,13,13,47,61,18,13,1
ABCF3,51,10,5,20,4,6,20,4,30,3,29,1,14,20,27,3,31,8,3,22,43,10,5,1
ABCG1,113,6,12,77,9,14,49,9,70,14,71,1,24,27,44,8,43,22,6,47,91,15,12,1
ABCG2,40,8,5,18,3,3,10,5,35,10,28,1,2,10,11,2,14,2,2,27,19,4,1,1
ABCG4,20,6,2,13,3,5,2,1,3,2,7,3,4,4,7,1,17,4,3,7,11,13,4,1
ABCG5,20,6,1,9,2,5,7,1,8,2,14,1,9,6,6,1,15,3,1,13,19,5,7,1
ABCG8,23,2,1,11,2,1,9,2,7,1,10,4,7,15,17,4,15,4,3,7,24,4,7,1
ABHD1,19,9,5,9,1,3,9,1,8,1,10,1,3,7,13,3,20,6,6,13,17,3,8,1
ABHD10,23,8,3,12,4,4,8,1,5,9,11,1,7,7,16,2,14,9,2,15,21,3,2,2
ABHD11,40,2,3,13,3,6,12,2,20,7,18,1,7,18,28,2,21,4,3,31,39,15,8,2
ABHD12,47,5,6,35,2,7,10,1,15,5,23,4,19,28,43,4,41,4,7,32,60,11,13,2
ABHD12B,28,5,3,8,2,3,6,4,10,9,7,1,5,5,10,1,17,4,2,11,28,3,4,3
ABHD13,34,4,1,15,1,6,7,2,14,7,13,2,8,16,18,1,12,6,2,19,27,1,6,3
ABHD14A,45,2,2,28,6,8,10,2,18,5,25,4,13,9,16,2,34,7,2,25,21,12,8,2
ABHD14B,36,4,5,15,6,1,14,4,29,8,22,2,4,10,32,3,25,6,5,34,40,11,9,1
ABHD15,23,7,3,12,5,4,10,6,17,4,11,1,8,11,24,2,27,15,2,17,49,6,5,4
ABHD16A,66,14,6,29,6,11,23,9,32,7,61,1,23,31,42,4,48,19,11,43,46,16,4,4
ABHD16B,18,10,4,16,2,2,2,2,9,5,15,1,2,10,15,1,11,7,4,6,15,15,9,1
ABHD17A,88,3,18,56,10,11,27,3,43,10,39,1,40,48,74,2,42,15,7,46,68,37,18,1
ABHD17B,43,4,4,25,1,2,10,2,12,7,16,1,18,16,16,2,28,11,9,21,33,4,3,2
ABHD17C,24,6,5,11,5,3,15,1,22,7,3,1,6,5,11,4,15,3,2,12,27,6,3,1
ABHD18,50,11,2,24,2,7,16,2,16,12,26,3,19,22,29,4,40,11,5,34,41,16,11,1
ABHD2,134,6,12,82,12,13,73,12,63,16,56,9,10,18,36,4,28,14,3,27,63,7,5,1
ABHD3,30,6,4,7,5,4,10,4,12,5,14,1,8,8,22,3,14,10,4,32,33,5,3,1
ABHD4,42,9,1,14,3,5,15,7,16,9,23,4,20,17,33,5,47,15,11,34,74,6,3,1
ABHD5,31,7,5,18,4,3,10,3,21,7,16,1,9,19,25,1,24,11,3,25,33,7,4,1
ABHD6,69,5,5,48,9,4,23,6,25,4,29,2,7,10,16,1,15,10,3,12,32,10,5,3
ABHD8,23,5,2,11,5,2,6,1,10,4,13,1,4,6,20,3,18,8,7,16,36,5,1,2
ABI1,83,9,7,36,4,11,15,7,51,7,32,5,21,26,43,1,38,8,5,29,61,17,8,2
ABI2,121,15,9,59,14,11,36,4,44,10,58,7,29,29,58,10,86,13,17,67,79,12,4,2
ABI3,42,9,2,16,5,2,12,4,7,11,12,2,8,7,41,1,23,12,3,17,33,12,9,1
ABI3BP,18,9,1,11,5,1,5,4,15,11,7,2,13,17,24,1,34,3,1,31,32,5,5,1
ABITRAM,68,4,6,27,1,7,25,2,40,9,30,4,18,26,39,4,44,14,9,39,62,14,10,4
ABL1,83,10,12,37,7,11,20,4,31,7,46,3,23,30,37,8,44,15,12,47,53,10,8,1
ABL2,41,3,5,24,4,9,16,1,13,6,24,1,6,11,23,4,21,6,3,18,37,4,1,1
ABLIM1,70,11,4,34,8,2,16,3,27,11,39,4,6,16,18,4,25,10,4,32,36,2,4,1
ABLIM2,29,4,7,11,3,1,9,1,10,2,7,1,10,9,11,2,6,4,2,9,24,8,5,2
ABLIM3,39,9,3,17,6,6,7,3,14,5,13,1,6,15,20,5,36,6,4,18,32,6,3,1
ABO,25,7,7,27,1,4,11,2,12,4,7,1,9,12,11,1,15,6,1,13,21,9,5,2
ABR,67,9,10,41,8,9,26,8,27,16,30,8,19,31,57,6,54,23,5,47,115,16,8,3
ABRA,15,7,1,9,2,1,7,3,8,4,3,1,7,1,9,3,8,4,2,6,18,12,3,2
ABRACL,19,7,2,12,9,3,7,1,10,5,15,2,7,8,21,1,16,10,8,15,29,10,13,1
ABRAXAS1,21,3,1,18,3,3,7,1,10,3,11,1,14,8,15,1,21,4,2,13,21,9,3,1
ABRAXAS2,30,4,4,29,2,3,8,2,12,5,14,6,14,19,19,3,18,4,2,15,30,2,4,3
ABT1,51,12,6,29,3,4,21,6,27,10,19,3,10,10,36,6,33,7,5,22,39,12,8,5
ABTB1,28,9,1,8,2,4,5,4,16,3,19,3,9,9,17,5,25,10,4,24,29,3,7,1
ABTB2,25,8,2,11,3,4,16,4,15,3,14,4,7,10,12,2,19,4,3,13,24,5,7,1
ACAA1,63,8,4,27,2,6,21,8,31,11,29,3,14,19,50,4,45,12,7,46,55,16,8,1
ACAA2,11,6,1,12,3,3,5,7,10,6,6,1,16,17,24,2,37,10,4,34,54,6,9,1
ACACA,82,16,12,37,6,4,32,8,35,3,43,2,14,13,21,10,47,5,5,48,30,5,10,1
ACACB,24,4,4,12,4,1,7,2,17,4,12,4,5,7,16,4,27,1,5,25,22,9,6,1
ACAD10,50,5,3,35,5,2,9,4,14,4,26,1,14,14,11,4,34,7,5,27,25,1,7,1
ACAD11,29,3,5,22,1,1,18,2,9,3,22,4,6,15,14,4,26,9,3,28,24,4,5,1
ACAD8,47,4,4,23,3,6,14,1,22,7,32,1,14,22,24,5,65,12,10,38,39,14,13,2
ACAD9,81,4,10,39,5,4,24,4,33,9,39,4,16,38,29,8,53,8,5,46,50,14,8,2
ACADL,21,7,2,5,1,2,1,4,6,2,8,1,5,6,8,1,7,5,1,12,21,3,4,3
ACADM,37,6,2,16,4,4,11,3,16,7,12,2,15,16,37,8,36,12,7,30,40,7,1,1
ACADS,28,3,3,10,10,3,11,3,15,2,14,1,23,25,15,2,37,11,2,30,48,6,12,1
ACADSB,44,4,3,27,5,5,17,1,19,4,21,1,8,9,15,2,24,8,1,21,34,5,1,3
ACADVL,146,9,10,65,7,11,35,9,57,15,76,4,42,113,105,35,307,54,27,219,133,14,12,1
ACAN,18,5,2,25,9,6,4,6,15,9,8,7,18,10,17,4,13,9,2,7,26,6,13,1
ACAP2,77,11,5,39,6,8,28,3,24,12,40,3,22,21,42,3,41,13,4,52,41,8,5,1
ACAP3,184,8,7,111,7,24,60,4,168,11,73,4,92,115,52,6,81,6,14,96,70,27,17,2
ACAT1,58,9,8,33,6,9,16,2,30,10,25,2,8,8,26,1,24,10,5,28,50,7,3,2
ACAT2,31,5,6,11,1,6,13,3,18,2,22,1,10,9,20,1,18,4,3,22,26,2,3,1
ACBD3,61,11,4,31,8,5,9,3,22,11,26,3,11,23,37,5,42,15,9,31,50,12,5,2
ACBD4,18,4,2,17,5,3,8,1,15,3,21,1,7,6,13,3,28,4,2,15,19,9,4,1
ACBD5,53,12,10,23,3,7,23,11,27,8,28,3,18,18,42,4,31,13,3,27,52,5,1,1
ACBD6,61,8,11,30,3,10,14,1,22,9,40,3,28,31,44,7,44,10,3,49,41,5,3,5
ACBD7,24,7,5,8,4,1,8,3,11,7,12,2,7,8,21,3,8,9,2,8,23,4,2,2
ACCS,10,3,3,3,2,4,3,2,10,3,3,1,5,6,11,2,13,7,1,11,17,1,2,1
ACCSL,16,3,1,12,1,3,4,2,11,5,10,1,7,12,14,2,8,7,1,14,22,6,8,2
ACD,61,7,3,32,3,12,20,2,26,1,22,1,11,11,19,4,23,7,7,18,29,13,13,1
ACE,26,3,2,9,1,3,3,2,8,5,13,2,3,12,15,1,15,7,1,7,19,7,11,1
ACE2,13,2,1,5,1,5,2,2,12,2,6,2,5,6,9,2,9,3,1,6,17,2,6,2
ACER1,14,6,5,15,1,1,6,1,10,3,15,1,6,4,14,1,13,2,2,12,21,7,4,1
ACER2,35,5,3,12,3,6,10,2,12,2,9,1,11,9,16,6,17,1,3,22,19,8,7,1
ACER3,32,6,6,15,4,3,12,1,14,5,13,2,9,9,24,2,22,7,5,20,41,5,2,1
ACHE,66,5,5,30,2,4,23,1,40,5,42,4,14,17,27,3,42,5,4,28,24,20,12,1
ACIN1,183,16,23,81,11,22,58,11,93,16,64,6,76,93,110,21,148,35,28,125,138,20,8,5
ACKR1,13,6,1,14,2,1,3,1,9,4,8,1,4,25,24,1,37,8,2,17,28,9,7,1
ACKR2,20,7,2,10,5,4,9,2,15,7,12,1,11,9,16,4,17,7,6,10,31,8,7,7
ACKR3,25,5,3,14,3,3,12,1,17,7,10,1,9,12,18,4,24,4,8,25,29,11,3,2
ACKR4,21,6,3,5,3,2,2,1,10,6,6,3,5,10,6,1,10,4,2,12,26,3,2,5
ACLY,54,7,12,51,5,10,12,5,30,13,23,1,35,36,46,9,109,23,21,46,78,15,7,1
ACMSD,18,6,1,5,3,1,5,1,1,3,8,1,1,8,13,2,12,2,1,9,13,6,6,1
ACO1,30,3,2,12,5,9,16,1,20,4,11,1,14,11,23,6,19,3,2,25,28,7,4,3
ACO2,80,21,15,50,9,13,23,21,55,28,35,5,31,40,77,6,71,20,8,54,76,14,5,5
ACOD1,26,12,3,16,3,2,7,2,14,2,6,1,9,13,13,1,12,3,1,12,38,13,3,2
ACOT1,33,7,5,20,2,2,19,7,8,5,16,6,11,20,28,2,28,10,3,14,39,8,4,1
ACOT11,56,6,1,24,3,12,15,3,18,3,23,1,8,17,31,4,31,12,4,24,31,16,3,2
ACOT12,7,3,5,8,1,3,3,1,5,4,10,1,8,9,5,2,9,4,2,12,15,2,1,2
ACOT13,37,3,2,18,4,4,6,3,16,5,13,4,10,13,31,6,44,6,7,26,45,6,8,1
ACOT2,22,7,2,17,6,2,7,4,10,4,7,1,11,4,14,3,23,7,1,14,21,12,6,3
ACOT4,22,7,1,8,3,1,6,2,15,5,12,1,10,11,28,4,22,4,2,18,36,13,5,3
ACOT6,16,3,3,11,1,3,5,2,5,1,10,1,12,4,8,2,16,9,2,12,15,6,4,1
ACOT7,34,6,4,22,3,2,12,3,18,7,14,5,10,13,24,2,36,3,3,18,18,8,13,1
ACOT8,50,8,6,26,5,4,10,3,28,11,19,2,17,15,28,3,28,14,3,33,43,17,10,1
ACOT9,23,4,1,9,4,2,5,2,7,2,9,1,4,11,16,1,17,5,1,15,31,5,3,2
ACOX1,41,9,6,29,5,8,19,2,25,12,22,3,12,24,23,6,46,10,1,26,41,4,6,2
ACOX2,35,3,3,15,5,1,7,4,10,7,14,1,10,7,16,3,20,6,2,21,37,11,10,3
ACOX3,52,5,6,22,3,7,11,4,37,10,30,1,10,15,25,4,31,8,3,21,28,3,9,4
ACOXL,14,4,1,7,2,1,3,1,7,1,6,1,3,4,10,3,12,7,2,7,13,2,5,2
ACP1,84,11,11,32,6,17,19,3,26,8,32,3,18,25,44,7,69,16,12,44,64,18,16,5
ACP2,27,12,6,31,3,5,17,6,18,6,19,1,8,15,31,3,23,5,4,16,35,11,9,1
ACP3,25,6,1,19,2,2,7,2,16,6,13,1,2,12,24,1,14,9,4,16,42,6,8,3
ACP4,14,6,1,11,1,5,6,1,5,1,7,1,6,12,16,1,14,8,3,15,16,7,8,2
ACP5,22,6,1,12,5,4,11,16,6,9,6,1,7,8,17,2,11,7,3,9,24,13,12,3
ACP6,59,6,9,46,3,9,28,3,51,5,38,2,14,33,27,10,59,11,10,36,53,11,14,3
ACP7,16,7,2,4,1,1,6,1,10,1,9,3,8,6,11,4,13,3,5,8,21,14,8,1
ACR,26,3,1,13,3,4,14,2,15,1,12,1,7,14,11,2,22,2,1,14,22,15,10,3
ACRBP,15,6,2,15,2,2,10,1,8,1,9,1,4,7,5,1,22,2,2,9,32,4,5,1
ACRV1,26,5,1,14,1,1,5,2,18,6,11,2,5,15,20,1,13,7,4,12,21,4,8,3
ACSBG1,25,4,3,8,3,1,7,2,10,5,12,2,6,8,7,2,19,10,3,16,17,4,3,1
ACSBG2,16,7,3,9,1,1,2,1,10,7,4,1,4,9,11,1,15,6,3,10,27,4,8,1
ACSF2,159,29,20,73,19,16,42,17,50,40,87,10,40,48,107,8,81,32,12,77,131,25,25,2
ACSF3,54,4,7,32,2,5,21,2,40,7,24,3,14,28,29,6,39,7,4,38,36,12,7,6
ACSL1,21,9,5,8,3,4,9,5,19,7,13,1,6,20,51,5,18,22,1,17,91,6,7,1
ACSL3,60,10,5,35,4,4,20,5,24,9,20,1,10,14,36,3,27,6,14,30,35,4,2,3
ACSL4,46,5,7,32,3,6,15,2,26,5,26,1,19,25,25,5,22,10,7,26,54,7,5,1
ACSL5,16,2,3,11,2,1,4,3,7,4,14,2,4,4,21,3,14,3,1,9,22,1,5,1
ACSL6,45,16,2,39,12,3,19,8,28,15,26,4,3,13,17,1,22,6,1,30,20,5,3,1
ACSM1,17,5,2,10,4,1,8,1,6,5,6,1,5,7,12,1,7,3,3,13,18,5,5,1
ACSM2A,29,9,1,10,5,1,7,1,7,4,11,1,5,3,10,2,13,5,6,19,24,6,5,1
ACSM2B,31,2,11,17,1,2,10,1,12,8,16,4,12,19,15,2,29,8,4,17,28,9,11,1
ACSM3,17,2,1,14,4,3,8,2,7,6,7,1,9,12,12,1,24,2,3,14,21,7,12,1
ACSM4,18,5,1,13,1,1,7,1,7,3,3,1,4,8,10,1,9,7,1,7,15,4,5,2
ACSM5,57,2,5,23,5,3,19,3,24,3,24,3,13,18,33,2,42,8,9,44,48,18,8,1
ACSM6,20,4,1,13,5,3,7,2,13,7,11,1,9,9,9,2,23,6,2,7,27,9,4,3
ACSS1,51,4,3,41,3,6,13,4,32,6,27,2,9,13,30,7,41,12,6,52,55,9,8,2
ACSS2,38,5,1,13,5,4,12,1,21,7,17,2,10,12,20,2,41,7,2,26,36,7,9,2
ACSS3,20,3,3,10,2,1,5,3,10,5,12,1,10,11,14,2,18,2,5,17,18,7,2,1
ACTA1,20,3,1,11,2,2,8,1,15,1,18,1,6,7,10,2,18,3,2,12,20,13,7,1
ACTA2,32,38,4,18,2,4,4,2,10,2,13,3,18,9,16,4,21,6,2,18,28,5,4,2
ACTBL2,21,6,1,9,1,4,5,1,8,4,13,1,4,2,7,1,11,5,6,12,13,5,1,1
ACTC1,30,6,1,16,5,1,7,3,17,6,17,2,6,16,18,1,14,6,2,22,26,4,7,2
ACTG2,24,5,3,13,2,7,8,1,13,3,12,3,3,8,20,1,20,2,3,18,30,3,6,3
ACTL10,13,6,2,13,3,4,4,2,12,1,12,1,7,11,18,2,20,8,3,17,14,9,8,3
ACTL6A,56,9,6,33,4,6,22,3,25,6,26,1,33,29,37,9,51,7,20,43,72,6,13,3
ACTL6B,66,7,8,24,1,5,17,2,34,4,24,1,4,10,22,3,14,6,2,11,23,13,16,3
ACTL7A,20,4,3,11,6,5,6,1,8,4,10,1,5,5,12,2,15,4,1,11,17,5,6,1
ACTL7B,16,4,1,11,3,1,3,1,1,2,3,1,5,2,9,3,10,3,2,4,15,3,6,2
ACTL8,22,5,5,15,1,3,8,2,13,2,11,1,9,13,20,5,16,1,3,10,36,3,10,1
ACTL9,28,8,4,16,1,1,12,5,15,6,15,1,8,13,18,4,28,9,2,9,26,27,16,1
ACTN1,23,4,2,8,3,3,7,1,13,5,9,1,12,44,88,12,54,22,4,80,82,7,7,2
ACTN2,41,3,1,25,1,4,16,5,32,5,17,2,12,24,21,1,24,9,5,30,28,14,13,3
ACTN3,25,5,2,10,3,1,13,2,18,2,7,2,6,8,14,1,15,6,2,17,18,4,3,2
ACTN4,87,8,11,42,4,11,34,3,56,18,31,1,81,113,127,29,195,32,31,147,155,38,30,5
ACTR10,106,14,10,62,9,13,41,4,52,15,45,6,51,47,53,9,96,24,13,91,87,22,22,5
ACTR1A,62,7,7,33,3,3,16,3,28,11,25,2,32,28,58,5,24,8,7,24,36,3,11,1
ACTR1B,67,8,13,28,7,8,19,2,37,12,33,2,24,22,29,4,45,9,8,51,55,14,11,3
ACTR2,76,18,16,41,6,12,33,12,35,17,38,4,42,38,93,8,52,41,11,70,173,5,9,4
ACTR3,80,16,7,36,13,9,28,17,44,12,37,4,51,57,122,16,93,43,20,97,171,9,9,5
ACTR3B,42,6,5,23,3,1,12,2,18,6,20,1,14,15,14,9,34,8,3,18,28,11,8,5
ACTR5,21,3,3,19,1,3,7,4,11,4,10,1,12,11,12,1,14,3,3,14,18,1,5,1
ACTR6,57,9,1,28,6,4,15,5,23,4,24,4,9,14,23,1,28,10,5,31,41,7,9,1
ACTR8,49,3,6,29,5,7,10,3,18,6,24,1,12,25,23,3,31,6,4,26,41,5,5,1
ACTRT1,15,5,5,10,4,1,6,1,5,8,5,1,5,4,17,1,12,1,1,7,27,4,3,1
ACTRT2,17,5,5,19,6,1,10,1,17,2,14,1,10,10,18,3,29,5,6,15,31,33,18,3
ACTRT3,20,1,2,6,2,4,5,1,4,2,8,1,7,4,11,1,9,5,3,9,23,7,6,1
ACVR1,51,7,2,21,5,6,12,2,19,10,21,1,16,30,19,3,36,15,2,25,30,4,3,1
ACVR1B,50,6,5,30,4,5,20,3,26,11,23,1,17,19,24,1,61,11,5,17,41,10,11,2
ACVR1C,26,3,2,15,4,8,10,2,7,4,9,1,5,4,13,5,11,6,2,18,23,3,4,1
ACVR2A,41,10,3,22,7,6,14,3,20,2,28,1,16,13,18,4,23,9,5,21,23,3,3,4
ACVR2B,41,3,6,17,4,4,20,2,17,3,17,2,14,16,14,5,23,7,8,8,34,9,6,1
ACVRL1,17,1,3,9,1,2,3,2,8,4,6,1,7,6,7,2,13,12,1,9,24,6,10,2
ACY1,29,1,5,16,1,3,8,1,13,5,15,1,12,17,21,1,25,4,2,14,30,10,8,2
ACY3,21,1,6,7,4,1,2,1,7,5,9,3,3,3,10,4,12,2,2,11,21,10,7,1
ACYP1,27,2,6,10,3,2,9,3,8,1,14,2,23,16,21,6,36,8,7,27,23,3,9,5
ACYP2,40,3,4,22,1,7,14,4,25,7,21,1,13,17,32,4,33,7,3,30,32,20,15,1
ADA,28,3,3,17,2,3,4,3,15,5,11,1,8,7,16,1,18,7,2,9,24,8,5,1
ADA2,19,8,3,13,7,5,6,7,9,16,15,3,12,13,40,1,21,18,4,34,120,13,4,5
ADAD1,12,7,3,11,1,1,4,1,9,2,11,1,6,5,12,1,8,6,2,8,19,4,1,1
ADAD2,19,3,2,14,1,3,6,1,11,3,12,1,7,5,11,3,17,4,3,12,18,7,6,1
ADAL,29,6,7,17,1,3,11,1,13,2,13,2,10,12,24,2,23,7,6,27,20,6,6,2
ADAM10,44,6,7,32,3,5,24,2,37,15,13,4,15,19,25,3,42,21,1,27,56,6,3,1
ADAM11,26,3,2,21,2,2,9,2,17,4,20,1,9,4,13,3,31,8,8,18,14,9,9,1
ADAM12,26,4,3,11,1,3,10,2,12,2,8,1,8,17,16,3,21,5,3,13,24,4,2,1
ADAM15,1586,216,144,587,170,190,456,162,498,287,741,146,367,348,1005,106,868,368,114,649,1238,572,394,19
ADAM17,68,14,4,38,5,7,13,3,20,5,37,1,21,29,43,9,63,12,7,51,64,7,10,1
ADAM18,28,1,2,10,3,6,7,1,15,2,11,1,4,11,13,2,14,7,2,15,29,3,8,1
ADAM19,28,4,3,17,6,2,8,4,23,4,9,2,7,12,12,2,21,9,5,13,19,11,9,3
ADAM2,26,4,3,10,3,1,8,2,11,3,16,2,4,8,13,2,8,4,2,11,17,3,3,2
ADAM20,25,4,3,19,1,5,4,2,15,3,12,1,8,16,12,2,14,9,4,15,17,7,4,1
