TargetName,JJ93.|.001.|.tumor,JJ93.|.001.|.CD45,JJ93.|.002.|.Ki67+.tumor,JJ93.|.002.|.tumor,JJ93.|.002.|.CD45,JJ93.|.003.|.Ki67+.tumor,JJ93.|.003.|.tumor,JJ93.|.003.|.CD45,JJ93.|.004.|.tumor,JJ93.|.004.|.CD45,JJ93.|.005.|.tumor,JJ93.|.005.|.CD45,JJ98.|.001.|.Ki67+.tumor,JJ98.|.001.|.tumor,JJ98.|.001.|.CD45,JJ98.|.002.|.Ki67+.tumor,JJ98.|.002.|.tumor,JJ98.|.002.|.CD45,JJ98.|.003.|.Ki67+.tumor,JJ98.|.003.|.tumor,JJ98.|.003.|.CD45,JJ98.|.004.|.tumor,JJ98.|.005.|.tumor,JJ98.|.006.|.tumor
KIF4B,16,3,6,6,3,5,6,2,14,2,12,1,17,5,21,5,18,5,5,14,16,8,1,1
KIF5A,80,7,9,28,11,12,30,5,33,10,41,1,10,23,15,4,46,9,4,20,43,7,9,1
KIF5B,94,5,19,43,4,16,23,7,37,14,36,2,30,38,46,5,27,19,5,24,61,6,6,1
KIF5C,87,12,12,29,8,9,20,14,23,12,30,4,26,35,36,6,54,24,7,43,51,11,7,1
KIF6,18,4,1,6,1,3,2,1,20,3,8,1,5,9,11,2,10,6,1,10,17,2,4,1
KIF7,35,1,5,16,1,10,9,3,10,5,11,1,3,8,20,2,17,4,2,19,24,7,6,1
KIF9,20,7,4,13,1,4,4,4,10,4,17,3,11,12,19,2,19,5,3,21,31,6,5,2
KIFAP3,55,8,5,33,4,8,17,1,23,5,34,4,12,12,34,8,36,10,3,33,29,3,4,1
KIFBP,36,5,7,18,2,6,13,1,21,6,20,1,7,14,8,3,13,10,1,17,27,3,5,1
KIFC1,32,6,7,8,1,11,5,2,14,7,9,1,57,8,16,21,17,8,15,15,21,8,4,1
KIFC2,42,4,4,24,4,4,20,7,25,5,23,4,18,42,37,9,120,11,14,82,54,14,7,3
KIFC3,32,2,3,20,3,4,9,3,19,2,17,1,6,13,37,1,23,13,1,13,38,6,7,1
KIN,35,5,8,25,3,1,11,1,19,9,19,1,7,20,22,3,13,7,4,23,26,6,2,1
KIR2DS1,29,4,3,13,3,1,11,3,14,3,14,1,13,17,10,4,35,7,12,22,24,7,14,7
