"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"TINCR",0.0403774922205962,4.86186322970449,0.0776158646220326,0.938370082923686,0.974709597848036,-6.43120312559753,"","non"
"SLAIN2",0.113729873993012,6.19187465419591,0.565877945540974,0.573409101800374,0.791110379714088,-6.43127950939181,"","non"
"RPA4",-0.036305087328798,4.93331509567252,-0.0957868943437766,0.923982097835205,0.968282719706395,-6.4313526285655,"","non"
"PRDM15",-0.100116808369864,5.19713546932528,-0.325638181182183,0.745735459919352,0.886728565648787,-6.43135980255149,"","non"
"EMILIN1",0.110944517177915,5.8101342392501,0.444481510272995,0.658158748330712,0.840710702202419,-6.43144833537355,"","non"
"COX16",-0.0660613430087436,6.58959076040122,-0.493575410692562,0.623255988386811,0.821820381661014,-6.43157315293176,"","non"
"PPOX",0.104219696825847,5.07534690001026,0.324940888689661,0.746260738575455,0.886827418420639,-6.43161990770748,"","non"
"RNASE6",-0.152031071892823,5.27466131753167,-0.326933376914968,0.744760094677956,0.886229535674733,-6.43166250553915,"","non"
"WDR70",0.0657935383976502,5.00726767053639,0.293153950023117,0.770330661721539,0.898571338307047,-6.4316743758265,"","non"
"TMEM88B",-0.245756056813482,5.66161634809693,-0.533066112945243,0.595790754177571,0.805646278847817,-6.43174823074097,"","non"
"TCAF2",-0.104901560791677,4.83330195909568,-0.345704442433214,0.730672009959136,0.87875107215716,-6.43175966424489,"","non"
"KCNJ5",-0.0119337617166728,5.16275916093932,-0.0298678653516577,0.976263197087586,0.990787390277932,-6.43180603342298,"","non"
"PRR27",0.00822568929491307,4.95225628164126,0.0188011209213223,0.985056877434038,0.993210509374532,-6.43182942707308,"","non"
"ZNF720",-0.128192314419986,4.95513645213868,-0.335826996868712,0.73807401169855,0.882536716684314,-6.43185252324802,"","non"
"CASP4",-0.0054912024205418,5.22807147194194,-0.0141026969373069,0.988790889526709,0.99474999514283,-6.4318538682806,"","non"
"OR51D1",0.0711255539649249,5.07095363413729,0.144259046781892,0.88573857437831,0.951813437735069,-6.43185540692593,"","non"
"OTUB1",0.142644812029878,6.6433844669921,0.576505314772831,0.566248342544692,0.786669716801028,-6.43188780522663,"","non"
"TCTN2",0.0869745634094352,5.44820236262528,0.351903335761019,0.726039675735985,0.875554730496166,-6.4318889056348,"","non"
"CHPF",0.200083647740972,6.38935451593488,0.529116238006246,0.598512312174628,0.807229289480707,-6.43195767335808,"","non"
"MECOM",0.0805719155267699,5.29760425877408,0.334511033241962,0.739062069882344,0.882979942050388,-6.43196357653672,"","non"
"SH3BGRL2",0.0888471747485804,4.98281695638176,0.277178914694162,0.782515069842073,0.905883776015362,-6.43201887639515,"","non"
"KLHL2",0.118978814092517,5.1987856602706,0.377685245373563,0.706884762307435,0.865474837551143,-6.43202598582651,"","non"
"PIGA",0.0731834978927681,5.23949743000102,0.277703938744884,0.78211373849162,0.905883776015362,-6.43204627048606,"","non"
"DSG1",-0.154998021711878,4.94774434061109,-0.348115295235585,0.728869212636839,0.877475416435102,-6.43208447914858,"","non"
"MROH1",0.105202570671039,5.85043087701044,0.470318081724622,0.639689089936777,0.83114188933672,-6.43213679706472,"","non"
"NEU3",0.040088684373238,4.97488011297993,0.108966327682517,0.913562121791878,0.962641853895828,-6.43221975297615,"","non"
"MTFMT",0.0569222027418972,5.12464193891075,0.197420851559831,0.844109188016149,0.93409124843756,-6.43240194977396,"","non"
"SNX10",-0.113833373470475,4.92725135211181,-0.340606450529113,0.734489212097197,0.880809668023715,-6.43242295137736,"","non"
"USP49",-0.13692789784597,5.419422475146,-0.501302242411908,0.617838037479567,0.818763791332547,-6.43248477707915,"","non"
"FIGNL1",0.0171666195140459,5.11170210468418,0.0757407392387777,0.939856079087599,0.97485364328031,-6.43249078384793,"","non"
"RNF166",-0.0974047264134077,5.70815125482047,-0.44554138536082,0.657396765501222,0.840569767116954,-6.43255945457763,"","non"
"MMP19",-0.0664900084108462,5.01857584162648,-0.205992448376224,0.837435325378757,0.932014389647082,-6.43256967447549,"","non"
"GLT1D1",-0.145609351771715,5.14786312877049,-0.370040748094316,0.712545198501387,0.868956065452186,-6.4326281375989,"","non"
"MPND",0.0875147038985,5.28486842608529,0.390468835511832,0.697456119202616,0.861185730032408,-6.4327371480704,"","non"
"COBL",0.129170220542845,5.95964453405313,0.404281303330571,0.687322102772435,0.857799059052806,-6.43276155529326,"","non"
"PDE12",0.0854447899791522,5.70029760336518,0.434628314752627,0.665259872715303,0.845519121586748,-6.43282542407315,"","non"
"CLEC17A",0.111907133833541,5.04084077625359,0.282331328614538,0.778579113134713,0.903661270860405,-6.43284225216335,"","non"
"TMED7",0.108470855511342,6.1924325011663,0.559666007777868,0.577614972126553,0.793703160904868,-6.43290807519208,"","non"
"CUL1",-0.1127158483127,6.7054285747234,-0.576704794901881,0.566114352872766,0.786669716801028,-6.43291978163288,"","non"
"NR2C2AP",0.0706798687526629,5.60679472490706,0.316277387751841,0.752797044593714,0.890713581199151,-6.43295412502037,"","non"
