"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"C12orf4",-0.256918279532978,5.13325778379088,-1.27673995223419,0.207546951318819,0.290479748694291,-5.92025997331239,"","non"
"RAB11FIP5",-0.227064865235243,5.83645222608031,-1.24043318680225,0.220560399552235,0.305320147243576,-5.92028649390834,"","non"
"XIAP",0.226154925005948,6.02773850036371,1.25605604415283,0.214888599466688,0.298926895865964,-5.92043205138216,"","non"
"HPS3",0.19969268510074,5.52463184047953,1.28031757300459,0.206296327935852,0.289157225830465,-5.92084062693548,"","non"
"IMPDH1",-0.267533243690718,6.43935203323759,-1.2690700850478,0.210247169158715,0.293621760156792,-5.92093726903966,"","non"
"MAT2B",0.165683086497953,5.82174911648151,1.21321599092347,0.230704251231083,0.316429446178622,-5.92174260790513,"","non"
"BTG2",0.313939585530547,6.82937034159608,1.10427715602935,0.274718612375972,0.364706436283932,-5.92179641796456,"","non"
"MGA",-0.23665552532713,5.89500429934416,-1.22565907555171,0.226025087550099,0.311214941023615,-5.92245001452942,"","non"
"LETMD1",-0.198977963225307,6.25357847678126,-1.23311445791226,0.223255152869696,0.308208539022001,-5.92259883227489,"","non"
"PRKAR2B",-0.290857546788645,5.52933108596392,-1.2783396883856,0.206987035549729,0.289839045437196,-5.92290635837769,"","non"
"RRAGC",0.275478255951118,5.68331874357691,1.23841175089111,0.221302278875783,0.306108211636624,-5.92304597252953,"","non"
"MTREX",-0.1937043897224,5.83757829606914,-1.2049230544295,0.233861909730222,0.320234186176618,-5.92352719388447,"","non"
"FAM193B",0.181948956933115,6.30582146303305,1.23563946577471,0.222322717537835,0.30725012556193,-5.92480590926216,"","non"
"SLC39A13",0.294974488245774,5.83161546160747,1.22945948887373,0.224609960410924,0.309717271940777,-5.9254847273741,"","non"
"SLC2A1",0.425905791862978,6.31798739603632,1.22830480409706,0.225039229112959,0.310240730734962,-5.92551279750597,"","non"
"NDUFB11",0.191085111112677,6.43450430567874,1.22249542655677,0.227208098146523,0.312631468638579,-5.92576262989253,"","non"
"NRM",-0.162030025187692,5.77358527035406,-1.23207805228915,0.223638709971286,0.308617939679301,-5.92614121389191,"","non"
"RUFY1",0.145222028147864,6.20598245732518,1.25074587953336,0.21680415830373,0.301178206596008,-5.92635819920002,"","non"
"ZNF703",0.294877509010393,5.9051224052069,1.22183550663292,0.227455439828899,0.312911114575553,-5.92656444696599,"","non"
"NEIL3",-0.303955241183715,4.87900497311145,-1.24906220374679,0.217414152695363,0.301877817065711,-5.92695316183602,"","non"
"PARD3",-0.223949436711853,5.48606723387599,-1.21519559184689,0.229955124086738,0.315584994261217,-5.92807993379575,"","non"
"CEP104",-0.32315685534929,4.89954323129646,-1.27089963973204,0.209600698180096,0.292859828734719,-5.92904235664544,"","non"
"IER5L",0.319867138412533,5.76208341196576,1.31368548529822,0.194902360311267,0.276300515424491,-5.9291983791324,"","non"
"RAD50",-0.205125007285572,5.76089580996299,-1.25864873029939,0.213957905768336,0.297807408764658,-5.92922437560099,"","non"
"ANAPC2",0.221356963337286,5.87802367058598,1.2357756234991,0.222272518922092,0.307240601167615,-5.92970596457404,"","non"
"C20orf96",-0.227321920909336,5.64618929201901,-1.18984695596822,0.239682944090308,0.326534929783714,-5.92976770186103,"","non"
"PRR20G",-0.410034587417607,5.1053895683259,-1.30597745272269,0.197491233256569,0.279078730427694,-5.92982720310234,"","non"
"LIMD2",-0.280710895370332,5.80397600613152,-1.22675723978297,0.225615501930633,0.310839694149345,-5.92991814446901,"","non"
"PPP1R2",0.245771494807174,6.41977676601711,1.24843951706374,0.217640073309934,0.302161937396737,-5.92992788620069,"","non"
"SCN1A",-0.401831654138169,5.39228210050302,-1.19678335350527,0.236991787670743,0.323707785450536,-5.93003961189102,"","non"
"SCAMP5",-0.282211710490079,6.06422932335575,-1.14296725465411,0.258454002536467,0.347240208502029,-5.93085278640329,"","non"
"CNTN1",-0.362669029608548,6.12151923026522,-1.07364016163521,0.288098965281503,0.379205586120523,-5.9311098497489,"","non"
"NUP153",-0.220013968096423,6.0102349675727,-1.20391330076269,0.23424853290171,0.320701701403161,-5.93241885433122,"","non"
"KCNAB3",-0.195090424768621,6.09006158635374,-1.17030810674439,0.247382667085301,0.335062300808833,-5.93256374713019,"","non"
"NUSAP1",0.392068913987052,5.90499023297246,1.20370767707055,0.234327320998765,0.320747671006316,-5.93343841546101,"","non"
"SLC38A1",0.276584747961656,6.42354023570071,1.20223224321384,0.234893224923647,0.32142925725158,-5.9342724441317,"","non"
"ADGRA3",-0.199098226022154,6.1087167838153,-1.14410149533869,0.257987781339814,0.346727422537657,-5.93433611482541,"","non"
"NOSIP",0.238359058717406,5.75418369234487,1.2847032380284,0.204770938529615,0.287516445095196,-5.93449236367704,"","non"
"COX19",-0.236146161814643,5.15066858335078,-1.25965718477131,0.213596712061667,0.297421368738273,-5.9351609243968,"","non"
"KLF3",0.183468700044423,6.20503108511704,1.23622187850288,0.222108052271583,0.30710301634004,-5.9355335848813,"","non"
"UBE2D4",0.235673209687244,5.89107258957154,1.27654905191397,0.207613842908434,0.290516056906092,-5.93600339814167,"","non"
"GMPPB",-0.233979327748422,5.4220650356931,-1.26449719855807,0.211869491000386,0.295538360971735,-5.93600732479321,"","non"
"PLRG1",-0.18665834820179,5.9024096905427,-1.22066833450088,0.227893386366103,0.313395213676411,-5.93602408639045,"","non"
"FAM228B",-0.239838530627055,4.86742218659058,-1.20912504435885,0.232258018151557,0.318406668555792,-5.9365896213932,"","non"
"ZNF292",0.300455279747141,6.09799459337701,1.22485656468179,0.226324747924736,0.311567075609205,-5.93714452382506,"","non"
"TCEAL1",-0.228859675730059,5.7834067988574,-1.22066222396722,0.227895680788865,0.313395213676411,-5.93732717788165,"","non"
"CAMK1D",-0.274438865620116,5.82418469631874,-1.21888508750764,0.228563691086068,0.314192037669078,-5.93737365402072,"","non"
"SLC37A2",0.275279556047241,5.02529746497629,1.30772482245607,0.19690208913779,0.278409939489397,-5.93780593239934,"","non"
"SLC16A10",-0.403902717192884,5.19355251700639,-1.27230921290952,0.209103639132344,0.292312466566387,-5.93799578139248,"","non"
"CHCHD3",0.249467180882726,6.86242865549666,1.17950911659048,0.243734852003216,0.331006299298777,-5.93824006398565,"","non"
"VPS26C",-0.249741946491969,5.76132868286606,-1.24399750692773,0.219256750489566,0.303960335388026,-5.93855063746039,"","non"
"RXRB",0.17606591629137,5.86111504782503,1.16779279712657,0.248386700959929,0.336261702120067,-5.93881840859608,"","non"
"ADGRF5",-0.368952762928167,5.42727224505067,-1.28316965939295,0.205303373115223,0.287964567134431,-5.93927249288949,"","non"
"CEP89",-0.344556470742101,5.10939932801393,-1.26161143229982,0.212898058145025,0.296594569982608,-5.9397323616673,"","non"
"RSPRY1",0.296186875650505,5.63666547905748,1.24794781402332,0.217818593787264,0.302321043455687,-5.94025955996938,"","non"
"FTO",0.286844216741907,5.98172991163256,1.23525888925125,0.222463072796004,0.307347468072822,-5.94222390427743,"","non"
"PLXNA4",-0.265293055067493,5.67397104656545,-1.20693491771268,0.233092979250874,0.319397033567421,-5.94231808684049,"","non"
"UBE2T",-0.305432185401862,5.4342491664468,-1.21571586028473,0.229758538386291,0.315376211779344,-5.94358827438275,"","non"
"SCARA3",0.466445770659844,6.5071820423026,1.23515483686319,0.22250145831588,0.307347468072822,-5.94439730721193,"","non"
"TRAC",-0.374905319575738,4.81135547960263,-1.27884887597357,0.206809054419336,0.289618404377809,-5.94468647117946,"","non"
"MRPL50",-0.201238716783854,5.38758596496685,-1.22798650038145,0.225157668614776,0.310321725106853,-5.94515044786797,"","non"
"FOSL2",0.439813180206645,7.17554492437369,1.15775115356162,0.252424264840138,0.340752344573944,-5.94582883836519,"","non"
"ANKHD1",0.248781225383415,6.20846786914123,1.18293026377929,0.242388483950786,0.329565154860849,-5.94611203798307,"","non"
"ABHD14B",0.173660064186279,5.68143206307687,1.24983415232328,0.217134318710557,0.301577804246681,-5.94637832026656,"","non"
"TYK2",0.276316094962619,6.61666191377335,1.19312678307023,0.238407696015352,0.32520349920802,-5.94690848974029,"","non"
"ZNF404",-0.289534988958833,5.36587402943731,-1.21378566623495,0.230488489959181,0.316255795767413,-5.94726727541449,"","non"
"USP12",-0.169142558910407,5.99278151316921,-1.24510938763277,0.218851248696254,0.303500436490692,-5.94774995498961,"","non"
"NSG1",-0.281178902947301,5.58329500009094,-1.26916694230357,0.210212907545408,0.293602809839727,-5.94880370189809,"","non"
"GAL3ST2",0.260027579950245,6.42384467642015,1.23975141158238,0.220810409647192,0.30552686755585,-5.94926961726232,"","non"
"SOS1",0.290913949206073,6.42214054277931,1.1931359239428,0.238404148807104,0.32520349920802,-5.94978160648391,"","non"
"NOVA1",0.416596675086412,7.54783644523891,0.988603354053156,0.327581040183174,0.419877812028822,-5.95016787991159,"","non"
"ELL2",0.264389558038066,6.12032920259845,1.28430244981461,0.20490998602455,0.287640264315625,-5.95045764469912,"","non"
"RNF114",0.252441390966729,5.27027128704142,1.23750878616475,0.221634266998813,0.306537539179858,-5.95116335276004,"","non"
"ZNF577",0.198362785212154,6.07591383773818,1.20618758057651,0.233378394274688,0.319695504572654,-5.95140889651252,"","non"
"RINT1",-0.197208995491533,5.47052125431919,-1.23388710313131,0.222969524815232,0.307904096117113,-5.95203872868264,"","non"
"MED22",0.275915236264532,5.63147055660099,1.23623221533031,0.222104243712461,0.30710301634004,-5.95240214410548,"","non"
"SEC14L2",0.184617462572198,5.78132957090968,1.28943506800466,0.203134639874828,0.285685142747937,-5.9532737218911,"","non"
"PSMB9",0.243564012125834,5.26128746298744,1.2948044510939,0.201289771897838,0.28354021378521,-5.95374499829957,"","non"
"FPR1",0.353061673922167,5.80337409643419,1.32734924169048,0.190376292217808,0.270829076627079,-5.95513243854489,"","non"
"PHF21B",-0.360070420485435,5.21032047643634,-1.24810181371398,0.217762670133978,0.302272992225691,-5.95573270249789,"","non"
"AP1M1",0.220156386500013,6.46290429210801,1.20382129604928,0.234283783629753,0.320719016490358,-5.95585238388366,"","non"
"CLDN11",0.895052340052968,6.34691167229863,1.12134331839421,0.267457583792925,0.356870007188059,-5.95670391364997,"","non"
"NFKBIL1",-0.223044180415319,5.65469381884594,-1.19965147759814,0.235885475030666,0.322464018476601,-5.95764813299832,"","non"
"ZSWIM7",-0.239309849250129,5.35160951684668,-1.24911005598432,0.217396798333907,0.301877817065711,-5.95839461742323,"","non"
"ROCK2",0.202929440668108,6.2431880696944,1.1701457389078,0.247447390811585,0.335117975396161,-5.95845479431744,"","non"
"LACTB",0.229544686195283,5.1081492410222,1.2819045220656,0.205743388683133,0.288467682018278,-5.95856908610691,"","non"
"KIFBP",-0.219553248913457,5.54209127310921,-1.18337546650794,0.24221367451926,0.329413383279381,-5.95981717796952,"","non"
"FRYL",0.328158866581977,6.17032590267953,1.17129319610352,0.246990248493166,0.334626624259479,-5.96073804579894,"","non"
"MEAK7",-0.245783148861298,5.37215041962368,-1.26115486936224,0.213061129505005,0.296762969131886,-5.96107794546797,"","non"
"GABRB1",-0.318845703929742,4.95582933942188,-1.22666669092989,0.225649253549257,0.310848277534991,-5.96268696779017,"","non"
"CERS5",-0.219467277960659,6.43956129043618,-1.15889305315837,0.251962767077315,0.340258846679359,-5.96290666827208,"","non"
"ACOT1",-0.253074496203366,5.44241125224839,-1.2862663715983,0.204229307913692,0.286940256459785,-5.96307744313054,"","non"
"AFF4",0.20314585912872,5.8369098720253,1.22604986013544,0.225879272847105,0.311074541631328,-5.963215670862,"","non"
"THOC6",-0.253470647177018,5.67631241233355,-1.23978661977669,0.220797493518447,0.30552686755585,-5.96392127536022,"","non"
"TRIM32",-0.257029588943971,5.25390386899945,-1.23596031062241,0.222204441852957,0.307176424927086,-5.96409331787742,"","non"
"EIF2AK2",0.217583432985649,6.21076825642986,1.21358186659804,0.230565660929144,0.31633109291468,-5.96427943357699,"","non"
"LPAR6",0.317714194569743,5.51803634294975,1.29085438046928,0.202645749090528,0.285073999429034,-5.96463543112964,"","non"
"PDZD4",-0.30746090472375,5.87545199374587,-1.16404646253255,0.249887559717844,0.33795337874614,-5.96562673279017,"","non"
"USP7",-0.233005083137078,5.54300397159169,-1.19961532987306,0.235899394727403,0.322464018476601,-5.96587352452286,"","non"
