"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"HDAC10",0.519076126737902,5.94801195476538,1.90207706619087,0.0615569238436549,0.147713714259702,-4.89404642282845,"","non"
"DTD1",0.488629626133947,5.96054692918425,1.89724098538044,0.0622030714484331,0.148954602643991,-4.89457984590813,"","non"
"SETD7",-0.544797081326458,6.14112561032143,-1.91914652700397,0.0593215380057475,0.14400569764988,-4.89466942090594,"","non"
"FAM216A",0.456215688711793,5.58765335820191,1.91466958241639,0.0599010605714835,0.144990813450832,-4.89486402732522,"","non"
"RAB38",-0.661548464310303,4.88008645687758,-1.87308963649259,0.065516451431696,0.154451483589596,-4.89494473805678,"","non"
"NPHP3",-0.568010610683034,4.68723628003412,-1.85808882954732,0.0676484718511198,0.157509709073767,-4.8950554956387,"","non"
"TOX2",-0.815227859598646,5.13486755763725,-1.88952220884026,0.0632462639550756,0.15092520000985,-4.8951592004292,"","non"
"RUNDC1",-0.432620298221517,5.71017216339782,-1.8852973585244,0.0638234896882939,0.151835209782065,-4.89600206195668,"","non"
"SLC52A2",-0.502797741582803,5.94257084015106,-1.87287413931164,0.0655466734881421,0.154451483589596,-4.89626891870239,"","non"
"RNPEPL1",-0.570089564295627,5.48731671009699,-1.9233570828557,0.0587808484398743,0.143207668013973,-4.89633192923513,"","non"
"CLDN10",-0.755771968400228,5.08159907243287,-1.87542165550377,0.0651901522681851,0.153972118929793,-4.896411630649,"","non"
"TP53INP1",-0.524224922585029,4.92893169673388,-1.86753854041713,0.0662987137083559,0.155489660959977,-4.89681737992671,"","non"
"LAMP2",0.928109709326945,7.44390818250054,1.88730238532043,0.063548997652318,0.151316785985692,-4.89685960839103,"","non"
"TAF3",-0.571135783301418,4.99427690022441,-1.85876463300209,0.0675511808916891,0.157400066905377,-4.89718554712523,"","non"
"OR13D1",-0.842237060653668,4.96687141543117,-1.88811108432419,0.0634385678978014,0.151212949666809,-4.897593622385,"","non"
"MXRA5",-0.736022321641293,4.82991969353054,-1.86046500223817,0.0673069107708109,0.15702363645627,-4.89803922969765,"","non"
"ZNF784",-0.738388970400155,5.22558221454479,-1.90058911347658,0.0617551207290544,0.148089134362777,-4.89867877616755,"","non"
"MRPS22",-0.305239158592577,5.88825930519049,-1.88287595107281,0.0641563197697622,0.152360868762036,-4.89943864768379,"","non"
"URGCP",-0.507579347839444,5.68326686635652,-1.88805400782289,0.0634463565052908,0.151212949666809,-4.89946987000533,"","non"
"GABRE",-0.72008371882039,4.58534993650166,-1.85262614939867,0.0684392349919072,0.158907593732641,-4.89953604864875,"","non"
"PTPRC",-1.19536808107949,5.53999715835615,-1.87524408753954,0.0652149494944676,0.153991499147446,-4.89953947557298,"","non"
"SMAD7",0.459511142881966,5.69462185509186,1.8761722559486,0.0650854193769169,0.153901436312479,-4.89958072464889,"","non"
"GATAD2A",-0.492108936507833,6.23712574858474,-1.87276384758399,0.0655621457227525,0.154451483589596,-4.90128733015966,"","non"
"CNP",1.08616004844971,6.66677559455156,1.89074694727088,0.0630797598624246,0.150691606359232,-4.90164647875956,"","non"
"ALCAM",0.748607267450566,6.8101629376918,1.8839407925983,0.0640097737917625,0.152182767936131,-4.90186713111914,"","non"
"TAGAP",-1.00767849649927,5.1621438611725,-1.88961551589689,0.0632335657297949,0.15092520000985,-4.90188673691829,"","non"
"CYSRT1",-0.814573614681228,5.48447749845563,-1.90494497335706,0.0611764351367492,0.147074286369931,-4.90222525659969,"","non"
"ZNF324",-0.755871725836256,5.14550202729024,-1.90623524394646,0.0610059043423036,0.146799359781005,-4.90234645244509,"","non"
"ARHGEF9",0.409741626643077,5.82253945309987,1.86721172649693,0.0663450127585266,0.155511394358387,-4.90283156607456,"","non"
"COX15",0.491713215028184,5.85471210395606,1.90370563543333,0.0613406144259684,0.147394069109241,-4.90286183158662,"","non"
"SLC7A14",0.751497884765144,4.95193979752981,1.88346272158452,0.0640755320275607,0.152238399855837,-4.9028991987428,"","non"
"SLC25A39",-0.436149433307886,6.18701417883219,-1.879343086402,0.0646445520175765,0.15315303459647,-4.9030877283444,"","non"
"BNC1",-0.902344838741965,4.85872225455267,-1.87286372082122,0.065548134910533,0.154451483589596,-4.90338946387238,"","non"
"GPX1",-1.06273647694056,7.85758507775734,-1.84968280499173,0.0688685185601864,0.159590953756408,-4.903901607332,"","non"
"ATP9B",-0.480834183697034,5.35945176997121,-1.87573988260672,0.0651457320072916,0.153930523139294,-4.90395585506718,"","non"
"NABP2",-0.330459222356927,5.49652926908321,-1.87301195461766,0.0655273444466609,0.154451483589596,-4.90410904300227,"","non"
"PLET1",-0.803124772361023,4.78747787799467,-1.86775958823446,0.066267413761645,0.155441946414941,-4.90426880530555,"","non"
"NECAB1",0.820716466432651,5.39219996827242,1.83675468181461,0.0707809627565554,0.162602582090156,-4.90428981389418,"","non"
"ZNF169",-0.612609231193326,5.11615753801687,-1.87285888642473,0.0655488130502856,0.154451483589596,-4.90440199610943,"","non"
"EXOC7",0.893364119711404,6.98365633700191,1.88378885614172,0.0640306663315738,0.152182767936131,-4.90496313774271,"","non"
"ACTR3",-0.607925157498072,7.32381422400986,-1.86640612217602,0.0664592574241785,0.155634659777466,-4.90536103271894,"","non"
"EXOSC9",-0.514474406365683,5.75611565250857,-1.88008409765771,0.0645418871435173,0.152962224265804,-4.90581186961682,"","non"
"THNSL2",-0.569898272648665,4.81218287800865,-1.86587494904176,0.0665346749933096,0.155759858683397,-4.90668824920335,"","non"
"PRAMEF18",-0.870771127926367,4.64405727973161,-1.87715416364467,0.0649486260665195,0.153618278922795,-4.90669229578966,"","non"
"H4C1",0.638871236752843,6.94524329429537,1.86911557240742,0.0660756813975719,0.155120424114849,-4.90717522597891,"","non"
"GALNT7",-0.440280034287358,5.092181063885,-1.84488625700915,0.0695729382755943,0.160672269074285,-4.9086098732539,"","non"
"ZNF30",-0.639657558691931,5.0748041183632,-1.872115868742,0.0656531094174534,0.154563127513563,-4.90919248527414,"","non"
"EEA1",-0.554456100058556,5.68539853395314,-1.90800869471781,0.0607721706830666,0.146520540347147,-4.90948850344641,"","non"
"PSMD13",0.378060709897413,6.02225401044918,1.88546713726781,0.0638002078941051,0.151835209782065,-4.90978882782652,"","non"
"KLF8",-0.615768426847552,4.97285910535746,-1.87591349050995,0.0651215094268363,0.153901436312479,-4.90991381767082,"","non"
"SRSF11",-0.7361949201967,6.85143517403338,-1.87215814281839,0.0656471717113544,0.154563127513563,-4.90996401030779,"","non"
"SNTB2",-0.555203812458437,5.57320480099277,-1.89338100610617,0.0627229131175878,0.15008017103296,-4.91002208690933,"","non"
"ACACB",-0.580797509163778,5.12641296000535,-1.87445903829144,0.0653246763887468,0.154173624963395,-4.91061144648021,"","non"
"RAB33B",-0.741084343812949,4.94835651069736,-1.876106203901,0.0650946300602227,0.153901436312479,-4.91062137309935,"","non"
"LCA5",-0.580083334926971,4.92674477051276,-1.87058698652279,0.0658681567866869,0.154806755088252,-4.91082751429396,"","non"
"C9orf50",-0.758608998608347,5.47778626271411,-1.89381893217477,0.0626637513300025,0.149963900762592,-4.91087343611533,"","non"
"POC1B",-0.410366512407965,5.41004073545188,-1.8719361474321,0.0656783576579021,0.154596917187786,-4.9115254196494,"","non"
"LETM1",0.554969718820264,5.71416162995551,1.89774634818332,0.0621352825464376,0.14884982678565,-4.91205823734089,"","non"
"ARHGAP9",-0.716763476123416,5.48716836939372,-1.87540909914169,0.0651919054928429,0.153972118929793,-4.91231773735207,"","non"
"ETV3",0.453215214172271,7.07342956406424,1.86151944029789,0.0671558071192701,0.156722655791994,-4.91235883811821,"","non"
"EI24",0.388008015672067,6.23941385912068,1.88134087785012,0.0643680787612533,0.1526903051703,-4.91245280339765,"","non"
"IYD",-0.897903683229979,4.91331171819612,-1.85763125249362,0.0677144131287483,0.157637376190945,-4.91266257347065,"","non"
"SERPINF1",-0.758152688892717,5.69041268449441,-1.90294134033673,0.0614420491270814,0.147537863439526,-4.91334160722005,"","non"
"NEDD4",-0.593743689854431,5.26181030629463,-1.84877818269522,0.069000910576313,0.159792799096478,-4.91376244233935,"","non"
"RASGEF1A",-0.619628346526095,5.18357810559527,-1.87073426554238,0.0658474152045253,0.154806755088252,-4.91518428765854,"","non"
"ADAMTS9",-0.818536074956962,5.82510530420216,-1.88307890269957,0.0641283672556203,0.152338423403649,-4.91576643150041,"","non"
"TIPRL",-0.455405138093971,5.3161870780538,-1.87594674146621,0.0651168709663142,0.153901436312479,-4.91600869793069,"","non"
"COMMD6",-0.596500072048499,6.56791137359393,-1.88470054410133,0.0639053879476937,0.151986850417336,-4.91704328144116,"","non"
"FIGNL2",-0.615245556027003,5.03595510046196,-1.88159045461848,0.0643336102294893,0.152672620094702,-4.91754294581694,"","non"
"TIGIT",-0.819288105435335,4.94261405486186,-1.85847576475135,0.0675927529255023,0.157405805228943,-4.91864166070976,"","non"
"STRBP",0.435043137022777,6.32947840431834,1.86509817155127,0.0666450940288655,0.15587668215672,-4.92019752857091,"","non"
"RNF19A",-0.856614552817661,6.71571091535039,-1.87926931568786,0.0646547802687191,0.15315303459647,-4.92033959078901,"","non"
"OIP5",-0.562338861700821,5.01022218580858,-1.85209006932582,0.0685172536747459,0.158984679050036,-4.92056380494052,"","non"
"RAP2A",0.615367600050827,6.73215788278251,1.86716368830252,0.0663518205261596,0.155511394358387,-4.92107488218354,"","non"
"ATIC",0.411234985537615,5.83088164301513,1.85242797133084,0.0684680682287328,0.158940739779857,-4.92217732061184,"","non"
"POLR2E",0.572070798523006,7.37924266761497,1.87059135169693,0.0658675419517753,0.154806755088252,-4.92251902958807,"","non"
"ODC1",-0.673094040238378,7.03368377970612,-1.8634921281756,0.0668738829385876,0.156193172842077,-4.92314257150153,"","non"
"EIF4E3",-0.612797780210061,4.99746200429371,-1.87304028633365,0.0655233714278322,0.154451483589596,-4.92326401103175,"","non"
"NAV2",0.56638778950385,5.87496970990463,1.8683154486274,0.0661887600253579,0.155334488256666,-4.92374023825584,"","non"
"GZMM",-0.770113874514978,4.89818764405808,-1.88524313253444,0.0638309272217929,0.151835209782065,-4.92396336743188,"","non"
"C9orf85",-0.569349194223546,5.28539170757325,-1.88774826924151,0.0634880910758159,0.151247905351705,-4.92435955607865,"","non"
"STRADB",-0.447206537330589,5.92984551022908,-1.86499190615775,0.0666602116676807,0.15587668215672,-4.92552061264857,"","non"
"WDFY2",0.490063061376457,5.81506062172621,1.84660861882869,0.0693192993943134,0.160309175240853,-4.92657903053034,"","non"
"DUX5",0.483242676973702,6.71386858893206,1.87083799683492,0.065832809836284,0.154806755088252,-4.92669733675846,"","non"
"OR10D3",-0.773249674411267,4.91594397262488,-1.85902148549209,0.0675142344335593,0.157377932048262,-4.92687024127935,"","non"
"CNTN2",0.755749699469402,5.64268135119909,1.83527135241743,0.0710032127808592,0.162964016376746,-4.92746690468588,"","non"
"FDX1",-0.540732393960543,5.65871938821676,-1.8901887465106,0.0631556016443452,0.150835689569368,-4.92753370504177,"","non"
"CMPK2",-0.766228656160759,5.23006062725445,-1.86183012071703,0.0671113403401734,0.156644646831176,-4.92787404099426,"","non"
"APOO",0.402220597661351,5.51523563236148,1.83152157845239,0.0715676596561273,0.163865341755816,-4.92800361150163,"","non"
"AKR1D1",-0.965333737122158,4.79002968427941,-1.8509967572171,0.0686766011977315,0.15927628218284,-4.92917489036553,"","non"
"ADM",-0.70228841481214,5.67680480167934,-1.86523005338742,0.0666263361334947,0.15587668215672,-4.92991688525274,"","non"
"SCLT1",-0.531682135712055,5.6612516835608,-1.87456477332751,0.0653098886576649,0.154173624963395,-4.93000481332066,"","non"
"PLEKHD1",-0.673069670834164,5.05328641440866,-1.87887233128122,0.0647098453021337,0.153187184507647,-4.93034695221563,"","non"
"ATP13A2",-0.499780574018726,5.64590761395051,-1.82446064394606,0.0726407406856017,0.165581812345309,-4.93055457194553,"","non"
"WDR59",0.439443316132554,5.69050989557149,1.8479742479396,0.0691187463548371,0.159961815695447,-4.93088578331249,"","non"
"RPTN",-0.87357138236995,5.03782796799188,-1.85209583716127,0.068516413852107,0.158984679050036,-4.93129454382278,"","non"
"PHF5A",0.38616694603004,5.74103280034749,1.87015560360414,0.0659289409552825,0.154852796426834,-4.9315161764887,"","non"
"SLC48A1",0.487303904214505,5.7675594137826,1.85948177088897,0.0674480681051857,0.157275371954721,-4.93187994452033,"","non"
"TM6SF1",-0.765989384367479,5.22147981486085,-1.87214709127894,0.0656487239379318,0.154563127513563,-4.93236782409195,"","non"
"IGHG3",-0.786354118561537,5.56284147861556,-1.88460197347547,0.0639189229070667,0.151993564124077,-4.93264767572742,"","non"
"FARS2",-0.330735116897182,5.75813086213418,-1.88285437703936,0.0641592917649706,0.152360868762036,-4.93318727980303,"","non"
"SLC35A1",0.490339629297136,5.24223708030164,1.86648295264117,0.0664483547673207,0.155634659777466,-4.93354606563634,"","non"
"OR2A7",-0.939051169862563,4.97126724968439,-1.85139498721407,0.0686185241291937,0.159174910232522,-4.93377974917739,"","non"
"OR6N2",-1.10255046845428,4.86666376549506,-1.85913023355674,0.0674985969007139,0.15736733345781,-4.93386518115622,"","non"
"TUBB4B",-0.60964029931214,7.87821267800526,-1.83701308538739,0.0707423054150648,0.162578971741878,-4.93412681709076,"","non"
"DNAJC16",-0.489995660334364,5.55247227049657,-1.87044954378154,0.0658875180758302,0.154806755088252,-4.9346409654112,"","non"
"RBAK",-0.488253476915411,4.98254390316372,-1.85854920682835,0.0675821815802398,0.157405805228943,-4.93532312537714,"","non"
"RPS23",0.838519589485275,8.87852663525391,1.76993816422169,0.0813884361939451,0.178977790224482,-4.93560256025808,"","non"
"ZNF814",-0.778754594397132,4.74218245986009,-1.84582392691024,0.0694347583914582,0.160431491095327,-4.93564068260061,"","non"
"LBR",0.454057577564078,6.07989442413028,1.84444149544657,0.0696385613557704,0.160771485043447,-4.93564457848576,"","non"
"FAM76A",-0.714451021451881,4.9815194666524,-1.86519993063786,0.0666306201782593,0.15587668215672,-4.9362673282195,"","non"
"RIBC1",-0.704539651968252,4.90911611146669,-1.87352198042911,0.0654558534913846,0.154406168776269,-4.93649733502451,"","non"
"SYNM",-0.605397348412201,5.42771212717041,-1.89821132526261,0.0620729661905538,0.14872565303576,-4.93659015506719,"","non"
"INTU",-0.567145148415428,5.68587250000586,-1.88205308776311,0.0642697581456244,0.152582444817518,-4.93662558592552,"","non"
