"","logFC","AveExpr","t","P.Value","adj.P.Val","B","label","DEG"
"GOLIM4",0.472505204236603,6.91882022128128,1.2881333245537,0.20222868017805,0.325442071344714,-5.72583729039359,"","non"
"SVEP1",-0.264217138859987,5.2391118494536,-1.37731553715322,0.173100261315922,0.290451332138158,-5.72668994335325,"","non"
"KDM3A",0.169215173672185,6.16060138482213,1.28088563897824,0.204747719692956,0.328489981312003,-5.7274115091264,"","non"
"COL4A5",0.281299930701939,5.5829469202347,1.29367599167673,0.200317891144964,0.32302654363631,-5.72768836463852,"","non"
"SRSF3",0.258813597973891,7.24782709058783,1.26285758577292,0.211114748989641,0.336080710747628,-5.72804604522243,"","non"
"NRDE2",-0.240411819296343,5.12266712710604,-1.38861985805585,0.169649516021786,0.286361763363446,-5.72811473701347,"","non"
"DTX4",-0.333379421122787,5.0848304834795,-1.39092383643603,0.168952722625942,0.285525271717424,-5.7283828980838,"","non"
"CCT8",0.243542457703182,6.46609481411232,1.29062682822985,0.201367390131055,0.324313495864875,-5.72851358531057,"","non"
"PTPN9",-0.199922397624446,5.4515566218449,-1.35084305839881,0.181390959096541,0.300707596520718,-5.72883895428961,"","non"
"RTN4RL2",-0.359895995432431,5.53450610028231,-1.35791112683027,0.179148409478291,0.297999622753514,-5.72900932031156,"","non"
"MAVS",0.268535923557164,6.33045135713296,1.29038282704987,0.201451550452996,0.324347711437689,-5.72934803157926,"","non"
"INTS12",-0.22867169027487,5.41149307441422,-1.36865679447179,0.175779529260922,0.293911824261516,-5.72936164652132,"","non"
"LRP8",-0.233652924923957,5.3603907602509,-1.36804871705326,0.175968868736781,0.294193740839658,-5.72940804558891,"","non"
"HDAC5",0.266299990174923,5.89901283185098,1.32316177450683,0.190379101643684,0.31138778942043,-5.72997405673383,"","non"
"AZIN1",0.230116074482365,6.85734226211672,1.27493944872002,0.206831777943576,0.330935509386717,-5.73014074016838,"","non"
"RGMA",0.471509062325314,7.1094816996642,1.23050027021728,0.222907775557654,0.349678101424827,-5.73023154366117,"","non"
"AKR7L",-0.382860455080419,4.99027351807328,-1.37971664053774,0.172362848371,0.289632455653259,-5.73070560911453,"","non"
"TGFA",-0.320426868427798,5.06455082291761,-1.38815308345959,0.169790951053521,0.286498252407944,-5.73098506460331,"","non"
"ANXA7",0.200822083915817,6.10750656168278,1.30630539560598,0.196014426937126,0.318329942063738,-5.73103841749369,"","non"
"EFR3A",0.282269892004805,5.94296733011994,1.29909142850374,0.198464017984356,0.321278488440391,-5.73192628992343,"","non"
"DUSP11",0.173866065979269,5.93906718625889,1.32798541003338,0.188789166894507,0.309572343587907,-5.73233591016053,"","non"
"CCNB2",-0.418002709782503,5.58414803629139,-1.32801617278927,0.188779059320364,0.309572343587907,-5.73245594386472,"","non"
"WDR45B",0.258931917063935,6.71832823346941,1.28578034098947,0.20304394868966,0.326383888972198,-5.73267344533056,"","non"
"OR13C4",-0.467806663855508,4.71321779869103,-1.40432700554962,0.164942679986513,0.280990717532553,-5.73271736080349,"","non"
"PTK6",-0.337595022322734,5.7034630755293,-1.38589036226582,0.170477848843,0.287383889418241,-5.73292626972661,"","non"
"ERI2",-0.25012505695242,5.28864678601293,-1.347568153708,0.182437215524684,0.301912952073681,-5.73299286977802,"","non"
"DNAJC13",-0.238269873918244,5.58540850820681,-1.3705357437761,0.175195455524477,0.293177063148579,-5.73306614358906,"","non"
"PPM1L",0.308259445732026,5.43536216619598,1.32841627776117,0.188647635890559,0.309411779638325,-5.73363628710003,"","non"
"DYNC1I1",-0.352710799460304,5.20336891066934,-1.33399874968302,0.186821142409197,0.306983808875981,-5.73366805541554,"","non"
"TOX3",0.408991148220726,4.95760038632117,1.37140644313876,0.174925300355784,0.292828585034004,-5.73389833460368,"","non"
"HACD3",0.291847040371414,6.60779131655664,1.29036641561699,0.201457211988184,0.324347711437689,-5.73392919786251,"","non"
"GINM1",0.218160657304197,5.70295916869061,1.32701773311735,0.189107320387251,0.309934992861283,-5.73405772889742,"","non"
"SUMO3",-0.290738242233334,6.41645761102367,-1.30113011963038,0.197769445361845,0.320446575338497,-5.73405850367853,"","non"
"SVIP",-0.252103784355558,5.98024120722151,-1.32889418077043,0.188490748435903,0.309297470747892,-5.73430485713954,"","non"
"HMGN4",-0.193594664230366,5.78159319955018,-1.35393921861586,0.180406002743344,0.299529694936264,-5.73444033265334,"","non"
"HSPB11",-0.204827150330542,5.92668638129938,-1.33994417331227,0.184890625651731,0.304977108506442,-5.73466002960785,"","non"
"EEF2KMT",-0.361086370630892,5.38544308498685,-1.38085068512396,0.172015404037923,0.289219880068027,-5.73524520687523,"","non"
"PAQR7",-0.310214019501777,5.25290431800789,-1.38683528818531,0.170190737635651,0.286996828017361,-5.73536688730784,"","non"
"METTL23",-0.181726225094503,5.58184580818408,-1.30840721039879,0.195305011035961,0.317504903940107,-5.73596034911469,"","non"
"ERMARD",-0.180607662928627,5.78220577939262,-1.34483955458658,0.183312430608073,0.30293734892825,-5.73612601377136,"","non"
"SREK1",0.294480092802992,6.56397481848369,1.27222889301252,0.207787000977551,0.332014612260189,-5.73632270248631,"","non"
"ZNF346",0.165171007065076,7.33444264240636,1.24494286456028,0.217585684682103,0.343302933387563,-5.73637697114275,"","non"
"LACTB",-0.333078677773847,5.07879503931164,-1.38085428461145,0.172014302094539,0.289219880068027,-5.73645630491663,"","non"
"RELA",0.278362852388673,6.22671389436931,1.27180636681706,0.207936197241286,0.332140797327097,-5.73674925070087,"","non"
"TFE3",-0.289810076502911,5.60301179653197,-1.35196981786082,0.181032040729926,0.300280454425256,-5.73682814477785,"","non"
"SNX27",0.202495011724157,5.71067489448491,1.31653703956244,0.192579114464541,0.314216067117218,-5.73683904842027,"","non"
